hyi ヒィ
hye ヒェ
xa ァ
a ア
xi ィ
i イ
ye イェ
xu ゥ
u ウ
whi ウィ
wi ヰ
we ヱ
whe ウェ
who ウォ
xe ェ
e エ
xo ォ
o オ
ka カ
ga ガ
ki キ
kya キャ
kyu キュ
kyo キョ
gi ギ
gya ギャ
gyu ギュ
gyo ギョ
ku ク
kwa クァ
qa クァ
kwi クィ
qi クィ
kwe クェ
qe クェ
kwo クォ
qo クォ
gu グ
gwa グァ
ke ケ
ge ゲ
ko コ
go ゴ
sa サ
za ザ
shi シ
si シ
she シェ
sye シェ
sha シャ
sya シャ
shu シュ
syu シュ
sho ショ
syo ショ
ji ジ
zi ジ
je ジェ
zye ジェ
ja ジャ
jya ジャ
zya ジャ
ju ジュ
jyu ジュ
zyu ジュ
jo ジョ
jyo ジョ
zyo ジョ
su ス
zu ズ
se セ
ze ゼ
so ソ
zo ゾ
ta タ
da ダ
chi チ
che チェ
cha チャ
cya チャ
tya チャ
chu チュ
cyu チュ
thy チュ
cho チョ
cyo チョ
dhi ヂ
dhe ヂェ
tye ヂェ
dha ヂャ
dya ヂャ
dhu ヂュ
dyu ヂュ
tyu チュ
dho ヂョ
dyo ヂョ
tyo チョ
xtu ッ
tsu ツ
tsa ツァ
tsi ツィ
tse ツェ
tso ツォ
te テ
t'i ティ
thi ティ
ti チ
t'yu テュ
thu テュ
de デ
d'i ディ
di ヂ
d'yu デュ
to ト
t'u トゥ
tu ツ
twu トゥ
do ド
d'u ドゥ
du ヅ
dzu ヅ
dwu ドゥ
na ナ
ni ニ
nya ニャ
nyu ニュ
nyo ニョ
nu ヌ
ne ネ
no ノ
ha ハ
ba バ
pa パ
hi ヒ
hya ヒャ
hyu ヒュ
hyo ヒョ
bi ビ
bya ビャ
byu ビュ
byo ビョ
bye ビェ
pi ピ
pya ピャ
pye ピェ
pyu ピュ
pyi ピィ
pyo ピョ
fu フ
hu フ
fa ファ
hwa ファ
fi フィ
hwi フィ
fe フェ
hwe フェ
fo フォ
hwo フォ
fyu フュ
hwyu フュ
bu ブ
pu プ
he ヘ
be ベ
pe ペ
ho ホ
bo ボ
po ポ
ma マ
mi ミ
mya ミャ
myu ミュ
myo ミョ
mu ム
me メ
mo モ
xya ャ
ya ヤ
xyu ュ
yu ユ
xyo ョ
yo ヨ
lyo ョ
lyu ュ
lya ャ
la ァ
ra ラ
li ィ
ri リ
rya リャ
ryu リュ
ryo リョ
lu ゥ
ru ル
le ェ
re レ
lo ォ
ro ロ
xwa ヮ
wa ワ
wyi ヰ
wye ヱ
wo ヲ
n ン
n' ン
nn ン
vu ヴ
va ヴァ
vi ヴィ
ve ヴェ
vo ヴォ
vyu ヴュ
xka ヵ
xke ヶ
yi イェ
- ー
^ ー
