あ а
い и/й
う у
え э
お о
か ка
き ки
く ку
け кэ
こ ко
さ са
し си
す су
せ сэ
そ со
た та
ち ти
つ цу
て тэ
と то
な на
に ни
ぬ ну
ね нэ
の но
は ха
ひ хи
ふ фу
へ хэ
ほ хо
ま ма
み ми
む му
め мэ
も мо
や я
ゆ ю
よ ё
ら ра
り ри
る ру
れ рэ
ろ ро
わ ва
を о
ん н/м
が га
ぎ ги
ぐ гу
げ гэ
ご го
ざ дза
じ дзи
ず дзу
ぜ дзэ
ぞ дзо
だ да
じ дзи
ず дзу
で дэ
ど до
ば ба
び би
ぶ бу
べ бэ
ぼ бо
ぱ па
ぴ пи
ぷ пу
ぺ пэ
ぽ по
きゃ кя
きゅ кю
きょ кё
ぎゃ гя
ぎゅ гю
ぎょ гё
しゃ ся
しゅ сю
しょ сё
じゃ дзя
じゅ дзю
じょ дзё
ちゃ тя
ちゅ тю
ちょ тё
じゃ дзя
じゅ дзю
じょ дзё
にゃ ня
にゅ ню
にょ нё
ひゃ хя
ひゅ хю
ひょ хё
ぴゃ пя
ぴゅ пю
ぴょ пё
びゃ бя
びゅ бю
びょ бё
みゃ мя
みゅ мю
みょ мё
りゃ ря
りゅ рю
りょ рё
